trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.4, 'e': 0.21059844619672852}",25,15,12.022711564084247,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.20849246173476124}",20,7,-42.14277830220815,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
157,False,"{'a': 0.4, 'e': 0.2064075371174136}",20,0,26.794284889871697,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.4, 'e': 0.2043434617462395}",20,14,13.357957477291995,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4, 'e': 0.2023000271287771}",20,12,16.0196527943675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.4, 'e': 0.2002770268574893}",25,11,24.840679721943452,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': 0.19827425658891443}",35,18,20.304948785451916,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': 0.19629151402302528}",20,2,29.000007680318443,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.19432859888279502}",20,1,8.128943004538048,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.19238531289396707}",30,19,21.07139808383876,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4, 'e': 0.1904614597650274}",20,12,13.742985989535896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4, 'e': 0.1885568451673771}",30,11,-30.81413123834727,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
167,False,"{'a': 0.4, 'e': 0.18667127671570335}",30,20,18.62715104700916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4, 'e': 0.1848045639485463}",25,17,13.48039815113517,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.18295651830906084}",25,11,28.35655720099387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.4, 'e': 0.18112695312597024}",25,11,-5.086799845828131,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.4, 'e': 0.17931568359471053}",30,6,-2.402105390731614,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.17752252675876343}",25,13,16.99317476979801,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.1757473014911758}",20,13,-2.1170342082809768,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.173989828476264}",30,20,15.523259268872646,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.1722499301915014}",25,9,17.959568137875493,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.4, 'e': 0.17052743088958636}",30,13,10.002399559703703,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 0.4, 'e': 0.1688221565806905}",20,15,7.689103534008923,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.4, 'e': 0.1671339350148836}",20,3,-16.088257033455843,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.4, 'e': 0.16546259566473476}",30,0,50.20201332769272,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.4, 'e': 0.16380796970808742}",20,10,-5.848545161874493,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.16216989001100654}",20,0,36.781983540693986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.4, 'e': 0.16054819111089647}",20,0,-4.8943120614773985,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
